id;title;description
119;"How Crimewatch kept us safe for 33 years";"The BBC has decided to axe Crimewatch after 33 years on the air despite some major successes solving brutal and horrific crimes including catching the killers of James Bulger."
120;"Trump says drug czar nominee Tom Marino is 'withdrawing'";"'Rep. Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!' the president tweeted."
121;"America Ferrara says she was sexually abused aged nine";"Ferrera, 33, said she lived with 'shame and guilt' over the attack for years afterwards and had to regularly see her abuser, who smiled and waved at her, 'expecting me to shut my mouth and smile back.'"
122;"Tanzanian opposition figure out of intensive care after attack";"Tanzanian opposition figure Tundu Lissu, who was shot and critically injured at his home last month, is now out of intensive care, his party CHADEMA said..."
123;"Somerset fantasist jailed for impersonating vets again";"Patrick Keniry, 59, has no qualifications to perform the role but used the identity of a registered vet to secure a job in Taunton, Somerset."
124;"Juliette Lewis looks red hot in gown at Elle Women event";"The raven-haired beauty was nominated for an Oscar when she starred with Robert De Niro in 1991's Cape Fear. And she took as her date to the Academy Awards her beau Brad Pitt."
125;"Sacked Anthony Scaramucci brands Trump 'political genius'";"Donald Trump's former communications chief who was axed after just 11 days, said the President is a 'political genius' who won the election by using Twitter when he spoke at at the Oxford Union."
126;"Chelsea cannot lose again in Premier League: Marcos Alonso";"The Blues, who play Roma in the Champions League on Wednesday night, lost 2-1 at bottom club Crystal Palace last Saturday."
127;"EuroMillions winner Jane Park bags herself football star";"The 21-year-old spent the weekend meeting Jordan's parents and enjoying a carvery in Dudley. The couple packed on the PDA as they were spotted together after going public in September."
128;"Type 2 diabetes breakthrough";"Leicester Diabetes Centre experts found semaglutide helped 71 per cent of patients shed pounds - it is believed this is the first type 2 diabetes pill to instigate weight loss. It also halts the condition."
129;"Sean Hughes wrote poignant poem about his own death";"Comedian Sean Hughes revealed how he wanted to have his ashes 'scattered in a bar' in a poignant poem he wrote about his own death 13 years ago."
130;"Middlesex lose appeal over relegation to Division Two";"Middlesex’s relegation to Division Two of the County Championship has been confirmed after their appeal against a two-point penalty for a slow over rate was thrown out."
131;"SPECIAL REPORT-They fled danger for a high-stakes bet on U.S. immigration courts";"By Mica Rosenberg, Reade Levinson and Ryan McNeillOAKLAND, California, Oct 17 (Reuters) - The two Honduran  women told nearly identical stories to the..."
132;"Twelve wounded in bomb attack on police vehicle in Turkey's Mersin province -TV";"ANKARA, Oct 17 (Reuters) - A police vehicle in Turkey's  southern province of Mersin was hit in a bomb attack on Tuesday,  wounding several people, security..."
133;"The Latest: 2 firefighters hurt battling new California fire";"SANTA ROSA, Calif. (AP) - The Latest on California wildfires (all times local):7:30 a.m.Two firefighters have been injured battling a blaze in California's..."
134;"Activist RBR courts fellow investors for Credit Suisse break-up";"By John Revill, Oliver Hirt and Joshua FranklinZURICH, Oct 17 (Reuters) - Activist investor RBR Capital  Advisors sought on Tuesday to rally support for a..."
135;"Capital rules 'exacerbating' clearing house risks -CFTC commissioner";"By Michelle PriceWASHINGTON, Oct 17 (Reuters) - Bank capital rules are  concentrating risk inside the clearing system and making  clearing houses..."
136;"Brexit divisions resurface as minister says no deal is 'unthinkable'";"LONDON, Oct 17 (Reuters) - British interior minister Amber  Rudd said on Tuesday it was ""unthinkable"" that Britain and the  European Union would fail to get..."
137;"Mission impossible? Merkel's coalition conundrum just got harder";"By Paul CarrelBERLIN, Oct 17 (Reuters) - She has earned a reputation as  Europe's chief crisis manager. Now Germany's Angela Merkel must  forge a government..."
138;"EU business leaders urge Britain to hasten pace in Brexit talks";"BRUSSELS, Oct 17 (Reuters) - European employers group  BusinessEurope urged the British government on Tuesday to speed  up negotiations with the European..."
139;"Cobie Frost's boyfriend is MKR Della Muscat's ex-husband";"Daily Mail Australia can exclusively reveal the identity of Bachelor reject Cobie Frost's new mystery man as being Chris Whearty, the former husband of My Kitchen Rules star Della Muscat."
140;"'Weinstein tried to ""teach"" Vietnamese actress sex scenes'";"Vu Thong Phuong, 32, met Weinstein in Saigon in 2008 to discuss her small role in the film Shanghai when she said he appeared in his presidential suite 'smiling' in a towel."
141;"Canary island La Palma sees 352 earthquakes in ten days";"Scientists are now monitoring the seismic activity on the island of La Palma 24 hours per day, and are set to carry out tests on the slopes of the island's active volcano - Cumbre Vieja."
142;"Chelsea train with Alvaro Morata in their ranks for Roma";"Alvaro Morata is training with Chelsea on the eve of their Champions League clash with Roma in a significant boost to Antonio Conte's shell-shocked side."
143;"325-pound woman charged with killing girl by sitting on her";"PENSACOLA, Fla. (AP) - A 325-pound (150-kilogram) Florida woman is charged with killing her 9-year-old cousin by sitting on the child as punishment.Veronica..."
144;"Richard Hannon-trained Barney Roy gears up for Asco";"On Saturday, he will walk through the gates at Ascot with his head high ready to saddle a runner in Barney Roy with a leading chance of landing the feature £1.3million Champion Stakes."
145;"Adelaide mother claims son was sexually assaulted by boy";"A mother claims a young boy sexually abused her five-year-old son behind a shed while they were at an Adelaide kindergarten together."
146;"Bill Murray helps couple announce pregnancy in Chicago";"Bill Murray was out and about in Chicago last week, were the Oscar-nominated actor caught the Cubs take on the Washington Nationals in the National League Divisional Series."
147;"Zuma fires critic in S.Africa reshuffle";"South African President Jacob Zuma sacked a vocal critic from his cabinet on Tuesday, a move set to deepen tensions before the ANC chooses a new party leader..."
148;"Pennsylvania college offers cut players reinstatement";"Three football players who were cut from the team at Division III Albright College in Pennsylvania have been offered reinstatement. One was cut for kneeling during the national anthem."
149;"Sam Wood shares photo of newborn daughter Willow";"Last week, former Bachelor stars Sam Wood and fiancée Snezana Markoski, welcomed their daughter Willow Wendy into the world."
150;"Gerard Butler speaks about terrifying LA motorbike crash";"The 47-year-old explained he was lucky to come away with only a fractured foot and a few bruises, as the crash sent him 'flying through the air' and could have easily 'taken him out'."
151;"Manchester holidaymaker banned from easyJet for five years";"Engineer Paul Brady, 39, of Droylsden, Greater Manchester, was detained after he and his partner Loretta Moran, 34, got drunk on lager as they were about to board a jet to Copenhagen."
152;"U.S. Justice Dept will review new law's impact on DEA powers -official";"WASHINGTON, Oct 17 (Reuters) - U.S. Deputy Attorney General  Rod Rosenstein said on Tuesday he was very concerned about a  report that said new legislation..."
153;"India orders Delhi power plant, generator shutdown as air worsens";"By Tommy WilkesNEW DELHI, Oct 17 (Reuters) - The Indian government ordered  diesel generators and a power plant in Delhi to be shut down on  Tuesday as air..."
